X  Z  V  Vxz
0  -196  2.434147982  1.048068004
1  -196  2.43381289  1.048067346
2  -196  2.43381289  1.048066947
3  -196  2.43381289  1.048066773
4  -196  2.43381289  1.048066899
5  -196  2.43381289  1.048066921
6  -196  2.43381289  1.048067533
7  -196  2.43381289  1.048068294
8  -196  2.43381289  1.048070603
9  -196  2.43381289  1.048070186
10  -196  2.437391119  1.048070566
11  -196  2.437070901  1.048070315
12  -196  2.437510132  1.048069878
13  -196  2.437539057  1.048069354
14  -196  2.437629999  1.048069176
15  -196  2.437796255  1.048070353
16  -196  2.437981899  1.048070799
17  -196  2.438170913  1.048070848
18  -196  2.438360597  1.048070566
19  -196  2.437150635  1.048070142
20  -196  2.437518709  1.048069675
21  -196  2.437655851  1.048069312
22  -196  2.437773083  1.048069266
23  -196  2.437945299  1.048068046
24  -196  2.43813623  1.048067992
25  -196  2.438329381  1.04806798
26  -196  2.438522128  1.048069638
27  -196  2.438714754  1.048070011
28  -196  2.438907447  1.048070081
29  -196  2.43381289  1.048070127
30  -196  2.43381289  1.048070168
31  -196  2.43381289  1.048069906
32  -196  2.43381289  1.048070061
33  -196  2.43381289  1.048070114
34  -196  2.43381289  1.048070156
35  -196  2.43381289  1.048070197
36  -196  2.43381289  1.048070236
37  -196  2.43381289  1.048070243
38  -196  2.43381289  1.048070165
39  -196  2.43381289  1.048070386
40  -196  2.439357726  1.048070446
0  -195  2.43381289  1.048067893
1  -195  2.43381289  1.048067654
2  -195  2.43381289  1.048066731
3  -195  2.43381289  1.048066517
4  -195  2.43381289  1.048066338
5  -195  2.43381289  1.048066624
6  -195  2.43381289  1.048067737
7  -195  2.43381289  1.048069632
8  -195  2.43381289  1.048070481
9  -195  2.436459338  1.048070979
10  -195  2.436149364  1.048070905
11  -195  2.436805185  1.048070563
12  -195  2.436628399  1.048070124
13  -195  2.437030433  1.048069662
14  -195  2.437147717  1.04807026
15  -195  2.437255679  1.048070657
16  -195  2.437404428  1.04807092
17  -195  2.437566663  1.048070805
18  -195  2.437735187  1.048070491
19  -195  2.437907257  1.048070113
20  -195  2.437059131  1.048069719
21  -195  2.43726211  1.048069369
22  -195  2.437379622  1.04806932
23  -195  2.437512973  1.048069473
24  -195  2.437676712  1.048067691
