Xpr(m)   Z(m)   X(m)  Y(m) V  Vx/zP  QP  
-0.022 -260.80  287000.75 3085784.31 3.49 1.29 1
-0.022 -261.03  287000.75 3085784.31 3.49 1.29 1
-0.022 -261.26  287000.75 3085784.31 3.50 1.29 1
-0.022 -261.49  287000.75 3085784.31 3.50 1.29 1
-0.022 -261.72  287000.75 3085784.31 3.50 1.29 1
-0.022 -261.96  287000.75 3085784.31 3.51 1.30 1
-0.022 -262.19  287000.75 3085784.31 3.51 1.30 1
-0.022 -262.42  287000.75 3085784.31 3.51 1.30 1
-0.022 -262.65  287000.75 3085784.31 3.51 1.30 1
-0.022 -262.89  287000.75 3085784.31 3.51 1.30 1
-0.022 -263.13  287000.75 3085784.31 3.51 1.29 1
-0.022 -263.37  287000.75 3085784.31 3.53 1.29 1
-0.022 -263.61  287000.75 3085784.31 3.54 1.28 1
-0.022 -263.86  287000.75 3085784.31 3.55 1.28 1
-0.022 -264.11  287000.75 3085784.31 3.57 1.27 1
-0.022 -264.36  287000.75 3085784.31 3.59 1.26 1
-0.022 -264.61  287000.75 3085784.31 3.60 1.26 1
-0.022 -264.83  287000.75 3085784.31 3.60 1.26 1
-0.022 -265.06  287000.75 3085784.31 3.57 1.26 1
-0.022 -265.28  287000.75 3085784.31 3.49 1.26 1
-0.022 -265.50  287000.75 3085784.31 3.35 1.26 1
-0.022 -265.71  287000.75 3085784.31 3.14 1.27 1
-0.022 -265.92  287000.75 3085784.31 2.93 1.27 1
-0.022 -266.14  287000.75 3085784.31 2.74 1.27 1
-0.022 -266.35  287000.75 3085784.31 2.60 1.27 1
-0.022 -266.67  287000.75 3085784.31 2.49 1.27 1
-0.022 -266.99  287000.75 3085784.31 2.42 1.28 1
-0.022 -267.30  287000.75 3085784.31 2.38 1.28 1
-0.022 -267.61  287000.75 3085784.31 2.33 1.28 1
-0.022 -267.93  287000.75 3085784.31 2.26 1.28 1
-0.022 -268.25  287000.75 3085784.31 2.20 1.29 1
-0.022 -268.62  287000.75 3085784.31 2.19 1.29 1
-0.022 -268.99  287000.75 3085784.31 2.25 1.31 1
-0.022 -269.30  287000.75 3085784.31 2.37 1.32 1
-0.022 -269.61  287000.75 3085784.31 2.53 1.33 1
-0.022 -269.93  287000.75 3085784.31 2.72 1.34 1
-0.022 -270.25  287000.75 3085784.31 2.89 1.33 1
-0.022 -270.62  287000.75 3085784.31 3.01 1.32 1
-0.022 -270.99  287000.75 3085784.31 3.05 1.31 1
-0.022 -271.30  287000.75 3085784.31 3.01 1.30 1
-0.022 -271.61  287000.75 3085784.31 2.90 1.29 1
-0.022 -271.93  287000.75 3085784.31 2.77 1.28 1
-0.022 -272.25  287000.75 3085784.31 2.65 1.28 1
-0.022 -272.62  287000.75 3085784.31 2.58 1.27 1
