Xpr(m)   Z(m)   X(m)  Y(m) V  Vx/zP  QP  
-1.43 -260.10  286958.01 3085535.82 2.38 1.26 1
-1.43 -260.51  286958.01 3085535.82 2.39 1.26 1
-1.43 -260.91  286958.01 3085535.82 2.40 1.26 1
-1.43 -261.32  286958.01 3085535.82 2.42 1.26 1
-1.43 -261.72  286958.01 3085535.82 2.44 1.26 1
-1.43 -262.13  286958.01 3085535.82 2.47 1.27 1
-1.43 -262.53  286958.01 3085535.82 2.50 1.27 1
-1.43 -263.03  286958.01 3085535.82 2.53 1.27 1
-1.43 -263.53  286958.01 3085535.82 2.55 1.28 1
-1.43 -263.89  286958.01 3085535.82 2.55 1.28 1
-1.43 -264.25  286958.01 3085535.82 2.51 1.28 1
-1.43 -264.64  286958.01 3085535.82 2.44 1.29 1
-1.43 -265.04  286958.01 3085535.82 2.38 1.29 1
-1.43 -265.54  286958.01 3085535.82 2.34 1.29 1
-1.43 -266.04  286958.01 3085535.82 2.32 1.29 1
-1.43 -266.54  286958.01 3085535.82 2.34 1.30 1
-1.43 -267.04  286958.01 3085535.82 2.40 1.30 1
-1.43 -267.53  286958.01 3085535.82 2.50 1.31 1
-1.43 -268.03  286958.01 3085535.82 2.62 1.32 1
-1.43 -268.53  286958.01 3085535.82 2.74 1.33 1
-1.43 -269.03  286958.01 3085535.82 2.82 1.33 1
-1.43 -269.53  286958.01 3085535.82 2.83 1.34 1
-1.43 -270.03  286958.01 3085535.82 2.76 1.33 1
-1.43 -270.53  286958.01 3085535.82 2.64 1.32 1
-1.43 -271.03  286958.01 3085535.82 2.53 1.31 1
-1.43 -271.53  286958.01 3085535.82 2.44 1.29 1
-1.43 -272.03  286958.01 3085535.82 2.40 1.27 1
-1.43 -272.53  286958.01 3085535.82 2.41 1.26 1
-1.43 -273.03  286958.01 3085535.82 2.47 1.26 1
-1.43 -273.53  286958.01 3085535.82 2.60 1.26 1
-1.43 -274.03  286958.01 3085535.82 2.80 1.27 1
-1.43 -274.53  286958.01 3085535.82 3.06 1.28 1
-1.43 -275.03  286958.01 3085535.82 3.38 1.30 1
-1.43 -275.53  286958.01 3085535.82 3.72 1.32 1
-1.43 -276.03  286958.01 3085535.82 4.01 1.33 1
-1.43 -276.53  286958.01 3085535.82 4.18 1.32 1
-1.43 -277.03  286958.01 3085535.82 4.20 1.31 1
-1.43 -277.53  286958.01 3085535.82 4.11 1.29 1
-1.43 -278.03  286958.01 3085535.82 3.96 1.27 1
-1.43 -278.53  286958.01 3085535.82 3.81 1.26 1
-1.43 -279.03  286958.01 3085535.82 3.70 1.25 1
-1.43 -279.53  286958.01 3085535.82 3.63 1.25 1
-1.43 -280.03  286958.01 3085535.82 3.58 1.25 1
-1.43 -280.53  286958.01 3085535.82 3.55 1.26 1
-1.43 -281.03  286958.01 3085535.82 3.54 1.27 1
-1.43 -281.53  286958.01 3085535.82 3.54 1.28 1
-1.43 -282.03  286958.01 3085535.82 3.55 1.30 1
-1.43 -282.53  286958.01 3085535.82 3.54 1.31 1
-1.43 -283.03  286958.01 3085535.82 3.46 1.33 1
-1.43 -283.53  286958.01 3085535.82 3.28 1.33 1
-1.43 -284.03  286958.01 3085535.82 3.04 1.33 1
-1.43 -284.53  286958.01 3085535.82 2.80 1.32 1
-1.43 -285.03  286958.01 3085535.82 2.59 1.32 1
-1.43 -285.53  286958.01 3085535.82 2.44 1.32 1
-1.43 -286.03  286958.01 3085535.82 2.34 1.32 1
-1.43 -286.53  286958.01 3085535.82 2.29 1.33 1
-1.43 -287.03  286958.01 3085535.82 2.29 1.33 1
-1.43 -287.53  286958.01 3085535.82 2.34 1.34 1
-1.43 -288.03  286958.01 3085535.82 2.42 1.35 1
-1.43 -288.53  286958.01 3085535.82 2.51 1.36 1
-1.43 -289.03  286958.01 3085535.82 2.57 1.36 1
-1.43 -289.53  286958.01 3085535.82 2.57 1.36 1
-1.43 -290.03  286958.01 3085535.82 2.50 1.35 1
-1.43 -290.53  286958.01 3085535.82 2.39 1.33 1
-1.43 -291.03  286958.01 3085535.82 2.25 1.32 1
-1.43 -291.53  286958.01 3085535.82 2.11 1.31 1
-1.43 -292.03  286958.01 3085535.82 2.00 1.30 1
-1.43 -292.53  286958.01 3085535.82 1.93 1.30 1
-1.43 -293.03  286958.01 3085535.82 1.90 1.29 1
-1.43 -293.53  286958.01 3085535.82 1.91 1.29 1
-1.43 -294.03  286958.01 3085535.82 1.96 1.29 1
-1.43 -294.53  286958.01 3085535.82 2.05 1.30 1
-1.43 -295.03  286958.01 3085535.82 2.16 1.32 1
-1.43 -295.53  286958.01 3085535.82 2.30 1.33 1
-1.43 -296.03  286958.01 3085535.82 2.45 1.35 1
-1.43 -296.53  286958.01 3085535.82 2.63 1.36 1
-1.43 -297.03  286958.01 3085535.82 2.81 1.38 1
-1.43 -297.53  286958.01 3085535.82 2.94 1.40 1
-1.43 -298.03  286958.01 3085535.82 2.98 1.40 1
-1.43 -298.53  286958.01 3085535.82 2.90 1.40 1
-1.43 -299.03  286958.01 3085535.82 2.76 1.40 1
-1.43 -299.53  286958.01 3085535.82 2.58 1.39 1
-1.43 -300.03  286958.01 3085535.82 2.40 1.37 1
-1.43 -300.53  286958.01 3085535.82 2.27 1.36 1
-1.43 -301.03  286958.01 3085535.82 2.17 1.34 1
-1.43 -301.53  286958.01 3085535.82 2.12 1.33 1
-1.43 -302.03  286958.01 3085535.82 2.10 1.32 1
-1.43 -302.53  286958.01 3085535.82 2.11 1.32 1
-1.43 -303.03  286958.01 3085535.82 2.15 1.32 1
-1.43 -303.53  286958.01 3085535.82 2.22 1.32 1
-1.43 -304.03  286958.01 3085535.82 2.30 1.33 1
-1.43 -304.53  286958.01 3085535.82 2.39 1.35 1
-1.43 -305.03  286958.01 3085535.82 2.46 1.36 1
-1.43 -305.53  286958.01 3085535.82 2.51 1.37 1
-1.43 -306.03  286958.01 3085535.82 2.56 1.38 1
-1.43 -306.53  286958.01 3085535.82 2.62 1.38 1
-1.43 -307.03  286958.01 3085535.82 2.69 1.38 1
-1.43 -307.53  286958.01 3085535.82 2.77 1.38 1
-1.43 -308.03  286958.01 3085535.82 2.85 1.38 1
-1.43 -308.53  286958.01 3085535.82 2.92 1.37 1
-1.43 -309.03  286958.01 3085535.82 2.94 1.36 1
-1.43 -309.53  286958.01 3085535.82 2.95 1.36 1
-1.43 -310.03  286958.01 3085535.82 2.93 1.35 1
-1.43 -310.53  286958.01 3085535.82 2.88 1.35 1
-1.43 -311.03  286958.01 3085535.82 2.79 1.36 1
-1.43 -311.53  286958.01 3085535.82 2.66 1.37 1
-1.43 -312.03  286958.01 3085535.82 2.50 1.37 1
-1.43 -312.53  286958.01 3085535.82 2.31 1.38 1
-1.43 -313.03  286958.01 3085535.82 2.09 1.38 1
-1.43 -313.52  286958.01 3085535.82 1.84 1.38 1
-1.43 -314.03  286958.01 3085535.82 1.58 1.38 1
-1.43 -314.53  286958.01 3085535.82 1.35 1.37 1
-1.43 -315.03  286958.01 3085535.82 1.16 1.35 1
-1.43 -315.52  286958.01 3085535.82 1.01 1.32 1
-1.43 -316.02  286958.01 3085535.82 0.90 1.29 1
-1.43 -316.53  286958.01 3085535.82 0.81 1.24 1
-1.43 -317.03  286958.01 3085535.82 0.74 1.19 1
-1.43 -317.52  286958.01 3085535.82 0.68 1.14 1
-1.43 -318.02  286958.01 3085535.82 0.64 1.09 1
-1.43 -318.41  286958.01 3085535.82 0.62 1.05 1
-1.43 -318.81  286958.01 3085535.82 0.60 1.02 1
-1.43 -319.10  286958.01 3085535.82 0.59 0.98 1
-1.43 -319.39  286958.01 3085535.82 0.59 0.96 1
-1.43 -319.69  286958.01 3085535.82 0.60 0.95 1
-1.43 -319.99  286958.01 3085535.82 0.60 0.95 1
-1 -260.10  286958.42 3085535.70 2.38 1.26 1
-1 -260.51  286958.42 3085535.70 2.39 1.26 1
-1 -260.91  286958.42 3085535.70 2.40 1.26 1
-1 -261.32  286958.42 3085535.70 2.42 1.26 1
-1 -261.72  286958.42 3085535.70 2.44 1.26 1
-1 -262.13  286958.42 3085535.70 2.47 1.27 1
-1 -262.53  286958.42 3085535.70 2.50 1.27 1
-1 -263.03  286958.42 3085535.70 2.53 1.27 1
-1 -263.53  286958.42 3085535.70 2.55 1.28 1
-1 -263.89  286958.42 3085535.70 2.56 1.28 1
-1 -264.25  286958.42 3085535.70 2.52 1.28 1
-1 -264.64  286958.42 3085535.70 2.45 1.29 1
-1 -265.04  286958.42 3085535.70 2.40 1.29 1
-1 -265.54  286958.42 3085535.70 2.35 1.29 1
-1 -266.04  286958.42 3085535.70 2.33 1.29 1
-1 -266.54  286958.42 3085535.70 2.34 1.30 1
-1 -267.04  286958.42 3085535.70 2.40 1.30 1
-1 -267.53  286958.42 3085535.70 2.50 1.31 1
-1 -268.03  286958.42 3085535.70 2.62 1.32 1
-1 -268.53  286958.42 3085535.70 2.74 1.33 1
-1 -269.03  286958.42 3085535.70 2.83 1.33 1
-1 -269.53  286958.42 3085535.70 2.83 1.33 1
-1 -270.03  286958.42 3085535.70 2.76 1.33 1
-1 -270.53  286958.42 3085535.70 2.64 1.32 1
