Xpr(m)   Z(m)   X(m)  Y(m) V  Vx/zP  QP  
0 -293.61  287042.91 3085784.83 2.57 1 1
0 -293.92  287042.91 3085784.83 2.57 1 1
0 -294.24  287042.91 3085784.83 2.59 1 1
0 -294.61  287042.91 3085784.83 2.61 1 1
0 -294.98  287042.91 3085784.83 2.63 1 1
0 -295.29  287042.91 3085784.83 2.64 1 1
0 -295.61  287042.91 3085784.83 2.62 1 1
0 -295.92  287042.91 3085784.83 2.56 1 1
0 -296.24  287042.91 3085784.83 2.47 1 1
0 -296.61  287042.91 3085784.83 2.36 1 1
0 -296.98  287042.91 3085784.83 2.24 1 1
0 -297.29  287042.91 3085784.83 2.12 1 1
0 -297.61  287042.91 3085784.83 1.99 1 1
0 -297.92  287042.91 3085784.83 1.89 1 1
0 -298.24  287042.91 3085784.83 1.83 1 1
0 -298.61  287042.91 3085784.83 1.79 1 1
0 -298.98  287042.91 3085784.83 1.80 1 1
0 -299.29  287042.91 3085784.83 1.85 1 1
0 -299.61  287042.91 3085784.83 1.94 1 1
0 -299.92  287042.91 3085784.83 2.09 1 1
0 -300.24  287042.91 3085784.83 2.30 1 1
0 -300.61  287042.91 3085784.83 2.61 1 1
0 -300.98  287042.91 3085784.83 3.05 1 1
0 -301.29  287042.91 3085784.83 3.64 1 1
0 -301.61  287042.91 3085784.83 4.30 1 1
0 -301.92  287042.91 3085784.83 4.87 1 1
0 -302.23  287042.91 3085784.83 5.28 1 1
0 -302.61  287042.91 3085784.83 5.46 1 1
0 -302.98  287042.91 3085784.83 5.24 1 1
0 -303.29  287042.91 3085784.83 4.57 1 1
0 -303.61  287042.91 3085784.83 3.71 1 1
0 -303.92  287042.91 3085784.83 2.96 1 1
0 -304.23  287042.91 3085784.83 2.43 1 1
0 -304.61  287042.91 3085784.83 2.07 1 1
0 -304.98  287042.91 3085784.83 1.84 1 1
0 -305.29  287042.91 3085784.83 1.70 1 1
0 -305.61  287042.91 3085784.83 1.61 1 1
0 -305.92  287042.91 3085784.83 1.56 1 1
