Xpr(m)   Z(m)   X(m)  Y(m) V  Vx/zP  QP  
-1.43 -260.10  286958.01 3085535.82 2.96 1 1
-1.43 -260.51  286958.01 3085535.82 2.96 1 1
-1.43 -260.91  286958.01 3085535.82 2.96 1 1
-1.43 -261.32  286958.01 3085535.82 2.95 1 1
-1.43 -261.72  286958.01 3085535.82 2.95 1 1
-1.43 -262.13  286958.01 3085535.82 2.93 1 1
-1.43 -262.53  286958.01 3085535.82 2.91 1 1
-1.43 -263.03  286958.01 3085535.82 2.87 1 1
-1.43 -263.53  286958.01 3085535.82 2.81 1 1
-1.43 -263.89  286958.01 3085535.82 2.70 1 1
-1.43 -264.25  286958.01 3085535.82 2.57 1 1
-1.43 -264.64  286958.01 3085535.82 2.44 1 1
-1.43 -265.04  286958.01 3085535.82 2.34 1 1
-1.43 -265.54  286958.01 3085535.82 2.27 1 1
-1.43 -266.04  286958.01 3085535.82 2.23 1 1
-1.43 -266.54  286958.01 3085535.82 2.23 1 1
-1.43 -267.04  286958.01 3085535.82 2.28 1 1
-1.43 -267.53  286958.01 3085535.82 2.37 1 1
-1.43 -268.03  286958.01 3085535.82 2.48 1 1
-1.43 -268.53  286958.01 3085535.82 2.61 1 1
-1.43 -269.03  286958.01 3085535.82 2.72 1 1
-1.43 -269.53  286958.01 3085535.82 2.76 1 1
-1.43 -270.03  286958.01 3085535.82 2.73 1 1
-1.43 -270.53  286958.01 3085535.82 2.64 1 1
-1.43 -271.03  286958.01 3085535.82 2.52 1 1
-1.43 -271.53  286958.01 3085535.82 2.42 1 1
-1.43 -272.03  286958.01 3085535.82 2.34 1 1
-1.43 -272.53  286958.01 3085535.82 2.32 1 1
-1.43 -273.03  286958.01 3085535.82 2.36 1 1
-1.43 -273.53  286958.01 3085535.82 2.47 1 1
-1.43 -274.03  286958.01 3085535.82 2.64 1 1
-1.43 -274.53  286958.01 3085535.82 2.89 1 1
-1.43 -275.03  286958.01 3085535.82 3.19 1 1
-1.43 -275.53  286958.01 3085535.82 3.52 1 1
-1.43 -276.03  286958.01 3085535.82 3.80 1 1
-1.43 -276.53  286958.01 3085535.82 3.98 1 1
-1.43 -277.03  286958.01 3085535.82 4.02 1 1
-1.43 -277.53  286958.01 3085535.82 3.97 1 1
-1.43 -278.03  286958.01 3085535.82 3.86 1 1
-1.43 -278.53  286958.01 3085535.82 3.75 1 1
-1.43 -279.03  286958.01 3085535.82 3.65 1 1
-1.43 -279.53  286958.01 3085535.82 3.57 1 1
-1.43 -280.03  286958.01 3085535.82 3.51 1 1
-1.43 -280.53  286958.01 3085535.82 3.45 1 1
-1.43 -281.03  286958.01 3085535.82 3.40 1 1
-1.43 -281.53  286958.01 3085535.82 3.37 1 1
-1.43 -282.03  286958.01 3085535.82 3.36 1 1
-1.43 -282.53  286958.01 3085535.82 3.35 1 1
-1.43 -283.03  286958.01 3085535.82 3.28 1 1
-1.43 -283.53  286958.01 3085535.82 3.14 1 1
-1.43 -284.03  286958.01 3085535.82 2.93 1 1
-1.43 -284.53  286958.01 3085535.82 2.73 1 1
-1.43 -285.03  286958.01 3085535.82 2.55 1 1
-1.43 -285.53  286958.01 3085535.82 2.42 1 1
-1.43 -286.03  286958.01 3085535.82 2.33 1 1
-1.43 -286.53  286958.01 3085535.82 2.29 1 1
-1.43 -287.03  286958.01 3085535.82 2.29 1 1
-1.43 -287.53  286958.01 3085535.82 2.35 1 1
-1.43 -288.03  286958.01 3085535.82 2.46 1 1
-1.43 -288.53  286958.01 3085535.82 2.58 1 1
-1.43 -289.03  286958.01 3085535.82 2.65 1 1
-1.43 -289.53  286958.01 3085535.82 2.65 1 1
-1.43 -290.03  286958.01 3085535.82 2.57 1 1
-1.43 -290.53  286958.01 3085535.82 2.44 1 1
-1.43 -291.03  286958.01 3085535.82 2.28 1 1
-1.43 -291.53  286958.01 3085535.82 2.13 1 1
-1.43 -292.03  286958.01 3085535.82 2.01 1 1
